
extDB3: https://bitbucket.org/torndeco/extdb3/wiki/Home
extDB3: Version: 1.031
extDB3: Windows Version
Message: All development for extDB3 is done on a Linux Dedicated Server
Message: If you would like to Donate to extDB3 Development
Message: https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=2SUEFTGABTAM2
Message: Also leave a message if there is any particular feature you would like to see added.
Message: Thanks for all the people that have donated.
Message: Torndeco: 18/05/15


extDB3: Found extdb3-conf.ini
extDB3: Detected 8 Cores, Setting up 6 Worker Threads
extDB3: ...
extDB3: ...
extDB3: ...
extDB3: ...
extDB3: ...
extDB3: ...


[16:00:56:147754 +02:00] [Thread 6408] extDB3: MariaDBConnectorException: altislife: Access denied for user 'root'@'localhost' (using password: YES)
[16:01:42:536070 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:01:43:059425 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:01:48:991296 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:01:54:023771 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:01:59:173453 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:02:02:743873 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:02:03:660361 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:02:04:184722 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:02:07:179733 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:02:08:618507 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:02:09:231385 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:02:10:345135 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:02:14:305553 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
