
extDB3: https://bitbucket.org/torndeco/extdb3/wiki/Home
extDB3: Version: 1.031
extDB3: Windows Version
Message: All development for extDB3 is done on a Linux Dedicated Server
Message: If you would like to Donate to extDB3 Development
Message: https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=2SUEFTGABTAM2
Message: Also leave a message if there is any particular feature you would like to see added.
Message: Thanks for all the people that have donated.
Message: Torndeco: 18/05/15


extDB3: Found extdb3-conf.ini
extDB3: Detected 8 Cores, Setting up 6 Worker Threads
extDB3: ...
extDB3: ...
extDB3: ...
extDB3: ...
extDB3: ...
extDB3: ...


[04:00:57:369226 +02:00] [Thread 16820] extDB3: MariaDBConnectorException: altislife: Can't connect to MySQL server on '127.0.0.1' (0)
[04:20:09:263611 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:20:12:262582 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:20:18:816010 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:20:23:691010 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:20:28:640171 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:20:33:641635 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:20:38:648922 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:20:43:652285 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:20:48:653626 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:20:53:620835 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:20:58:733430 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:21:04:118718 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:21:09:116120 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:21:14:436234 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:21:19:797520 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:21:24:858954 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:21:30:042007 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:21:35:132046 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:21:40:249668 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:21:45:428477 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:21:50:496922 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:21:55:695731 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:22:00:639892 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:22:05:621977 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:22:11:279860 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:22:16:346321 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:22:21:971305 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:22:29:562501 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:22:42:526056 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:22:43:055413 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
